ministry_id,name,phone_number,region,district,cooperative_name
MOA-KAG-010,Halima Nshala,0712000010,Kagera,Bukoba,Bukoba Coffee Farmers AMCOS
MOA-KAG-011,Peter Mhando,0712000011,Kagera,Bukoba,Bukoba Coffee Farmers AMCOS
MOA-KAG-012,Neema Rwegasira,0712000012,Kagera,Bukoba,Bukoba Coffee Farmers AMCOS
MOA-KAG-013,Abel Kasongwa,0712000013,Kagera,Karagwe,Karagwe Coffee Union
MOA-KAG-014,Martha Kishimba,0712000014,Kagera,Karagwe,Karagwe Coffee Union
MOA-KAG-015,Joshua Mbezi,0712000015,Kagera,Muleba,Muleba Growers Society
MOA-KAG-016,Janeth Kweka,0712000016,Kagera,Muleba,Muleba Growers Society
MOA-KAG-017,Deo Maro,0712000017,Kagera,Biharamulo,Biharamulo Farmers AMCOS
MOA-KAG-018,Vivian Kato,0712000018,Kagera,Biharamulo,Biharamulo Farmers AMCOS
MOA-KAG-019,Emmanuel Nyarubamba,0712000019,Kagera,Ngara,Ngara Farmers AMCOS
MOA-KAG-020,Agatha Mwakalile,0712000020,Kagera,Ngara,Ngara Farmers AMCOS
